0.00,35.50
1.00,36.80
2.00,38.10
3.00,39.40
4.00,40.70
5.00,42.00
6.00,43.30
7.00,44.60
8.00,45.90
9.00,47.20
10.00,48.50
11.00,49.80
12.00,51.10
13.00,52.40
14.00,53.70
15.00,55.00
16.00,56.30
17.00,57.60
18.00,58.90
19.00,60.20
20.00,61.50
21.00,62.80
22.00,64.10
23.00,65.40
24.00,66.70
25.00,68.00
26.00,69.30
27.00,70.60
28.00,71.90
29.00,73.20
30.00,74.50
31.00,75.80
32.00,77.10
33.00,78.40
34.00,79.70
35.00,81.00
36.00,82.30
37.00,83.60
38.00,84.90
39.00,86.20
40.00,87.50
41.00,88.80
42.00,90.10
43.00,91.40
44.00,92.70
45.00,94.00
46.00,95.30
47.00,96.60
48.00,97.90
49.00,99.20
50.00,100.50
51.00,101.80
52.00,103.10
53.00,104.40
54.00,105.70
55.00,107.00
56.00,108.30
57.00,109.60
58.00,110.90
59.00,112.20
60.00,113.50
61.00,114.80
62.00,116.10
63.00,117.40
64.00,118.70
65.00,120.00
66.00,121.30
67.00,122.60
68.00,123.90
69.00,125.20
70.00,126.50
71.00,127.80
72.00,129.10
73.00,130.40
74.00,131.70
75.00,133.00
76.00,134.30
77.00,135.60
78.00,136.90
79.00,138.20
80.00,139.50
81.00,140.80
82.00,142.10
83.00,143.40
84.00,144.70
85.00,146.00
86.00,147.30
87.00,148.60
88.00,149.90
89.00,151.20
90.00,152.50
91.00,153.80
92.00,155.10
93.00,156.40
94.00,157.70
95.00,159.00
96.00,160.30
97.00,161.60
98.00,162.90
99.00,164.20
