0.00,34.50
1.00,35.60
2.00,36.70
3.00,37.80
4.00,38.90
5.00,40.00
6.00,41.10
7.00,42.20
8.00,43.30
9.00,44.40
10.00,45.50
11.00,46.60
12.00,47.70
13.00,48.80
14.00,49.90
15.00,51.00
16.00,52.10
17.00,53.20
18.00,54.30
19.00,55.40
20.00,56.50
21.00,57.60
22.00,58.70
23.00,59.80
24.00,60.90
25.00,62.00
26.00,63.10
27.00,64.20
28.00,65.30
29.00,66.40
30.00,67.50
31.00,68.60
32.00,69.70
33.00,70.80
34.00,71.90
35.00,73.00
36.00,74.10
37.00,75.20
38.00,76.30
39.00,77.40
40.00,78.50
41.00,79.60
42.00,80.70
43.00,81.80
44.00,82.90
45.00,84.00
46.00,85.10
47.00,86.20
48.00,87.30
49.00,88.40
50.00,89.50
51.00,90.60
52.00,91.70
53.00,92.80
54.00,93.90
55.00,95.00
56.00,96.10
57.00,97.20
58.00,98.30
59.00,99.40
60.00,100.50
61.00,101.60
62.00,102.70
63.00,103.80
64.00,104.90
65.00,106.00
66.00,107.10
67.00,108.20
68.00,109.30
69.00,110.40
70.00,111.50
71.00,112.60
72.00,113.70
73.00,114.80
74.00,115.90
75.00,117.00
76.00,118.10
77.00,119.20
78.00,120.30
79.00,121.40
80.00,122.50
81.00,123.60
82.00,124.70
83.00,125.80
84.00,126.90
85.00,128.00
86.00,129.10
87.00,130.20
88.00,131.30
89.00,132.40
90.00,133.50
91.00,134.60
92.00,135.70
93.00,136.80
94.00,137.90
95.00,139.00
96.00,140.10
97.00,141.20
98.00,142.30
99.00,143.40
